"","team_id","name","tag"
"1225",2450271,"Beardman and Francine","BEARD"
"1226",2317192,"DiscotecaMakondos","DKM2"
"1227",2828433,"Monster","Mon"
"1228",2888546,"HiKaiXxX","HiKaiXxX"
"1229",1248512,"Kompas Gaming","WP"
"1230",2910546,"PASA LA PLATA","PLP"
"1231",2524597,"InfinityVN","Infinity"
"1232",2579961,"Farm And Throw","FAT"
"1233",1534289,"Guilty Crownn","G.Crownn"
"1234",1034366,"POTA2","POTA2"
"1235",41995,"Svaha","Svaha"
"1236",2355957,"DotAdictos","DA"
"1237",1446243,"Demented Justice","DJ"
"1238",3319964,"NASI CAMPUR88","NC88"
"1239",3323503,"Chainsmokers",""
"1240",3266307,"Union","Union"
"1241",3327985,"RaveDota","Rave"
"1242",3337797,"TEAM FAADU","TEAM FAADU"
"1243",2276247,"Mamas-Boys","MB"
"1244",2605031,"BLACK STEEL","[BS]"
"1245",3259967,"BnB","BnB"
"1246",2789395,"Orange.Taring","Taring"
"1247",1724864,"INVINCICIBLLE","INV"
"1248",2903559,"Troll gaming","AsTRa"
"1249",2591215,"Team k6R","k6R"
"1250",2590415,"LanCenterKokinet.","Kokinet"
"1251",3022558,"King Of Dota","K.o.D"
"1252",416900,"Orange.Neolution Esports","Orange"
"1253",1840773,"Shadows of the Past.","SP"
"1254",2860081,"team_ftd_a","FTD.a"
"1255",3625359,"DOTA DOEA","DTD"
"1256",2721427,"Blame It On Supports","BIOS"
"1257",2793529,"Under 1K","Under1K'"
"1258",2001734,"OneDream","OD"
"1259",2005411,"The Continent","TC"
"1260",2628839,"Team_.HaloXen","T_HX"
"1261",1555981,"BKB48","[BKB48]"
"1262",2828758,"WOLVES.GG","WE.GG"
"1263",3317233,"Dampaie Gaming","DG"
"1264",1983234,"Team Braveheart","Bheart"
"1265",2850449,"TheTrainTheTrone","TT--TT"
"1266",2759317,"Elements One","Elements"
"1267",3662845,"Riptide Dota 2","RiptidE`"
"1268",2904117,"WaiFu Team",""
"1269",2783733,"Sleepyng Beauty Reborn","SBR"
"1270",2912737,"Super Speed Panama","SSP"
"1271",2781959,"DEMOLITION.[X]","Dx."
"1272",2924498,"",""
"1273",3213075,"Max.X","MAX.X"
"1274",2293413,"Lemondogs.Dota2","LD"
"1275",3336725,"Rampage Gaming","RG"
